2018-10-10 10:11:17,128: |Mouse moved to |(698, 593)
2018-10-10 10:11:17,128: |Mouse moved to |(697, 591)
2018-10-10 10:11:17,144: |Mouse moved to |(697, 590)
2018-10-10 10:11:17,160: |Mouse moved to |(697, 589)
2018-10-10 10:11:17,331: |Mouse clicked at |(697, 589) with Button.left
2018-10-10 10:11:17,487: |Mouse moved to |(696, 585)
2018-10-10 10:11:17,503: |Mouse moved to |(691, 575)
2018-10-10 10:11:17,518: |Mouse moved to |(688, 568)
2018-10-10 10:11:17,518: |Mouse moved to |(685, 559)
2018-10-10 10:11:17,534: |Mouse moved to |(680, 551)
2018-10-10 10:11:17,550: |Mouse moved to |(676, 538)
2018-10-10 10:11:17,550: |Mouse moved to |(670, 526)
2018-10-10 10:11:17,565: |Mouse moved to |(660, 505)
2018-10-10 10:11:17,581: |Mouse moved to |(650, 483)
2018-10-10 10:11:17,581: |Mouse moved to |(637, 459)
2018-10-10 10:11:17,596: |Mouse moved to |(629, 431)
2018-10-10 10:11:17,612: |Mouse moved to |(625, 405)
2018-10-10 10:11:17,612: |Mouse moved to |(622, 376)
2018-10-10 10:11:17,628: |Mouse moved to |(622, 356)
2018-10-10 10:11:17,643: |Mouse moved to |(622, 343)
2018-10-10 10:11:17,643: |Mouse moved to |(622, 328)
2018-10-10 10:11:17,659: |Mouse moved to |(622, 313)
2018-10-10 10:11:17,674: |Mouse moved to |(621, 299)
2018-10-10 10:11:17,690: |Mouse moved to |(619, 287)
2018-10-10 10:11:17,690: |Mouse moved to |(618, 277)
2018-10-10 10:11:17,706: |Mouse moved to |(617, 270)
2018-10-10 10:11:17,706: |Mouse moved to |(616, 264)
2018-10-10 10:11:17,721: |Mouse moved to |(616, 262)
2018-10-10 10:11:17,737: |Mouse moved to |(616, 260)
2018-10-10 10:11:17,737: |Mouse moved to |(615, 260)
2018-10-10 10:11:17,846: |Mouse moved to |(615, 258)
2018-10-10 10:11:17,862: |Mouse moved to |(615, 256)
2018-10-10 10:11:17,862: |Mouse moved to |(616, 255)
2018-10-10 10:11:17,877: |Mouse moved to |(616, 251)
2018-10-10 10:11:17,893: |Mouse moved to |(618, 247)
2018-10-10 10:11:17,893: |Mouse moved to |(619, 242)
2018-10-10 10:11:17,908: |Mouse moved to |(621, 238)
2018-10-10 10:11:17,924: |Mouse moved to |(622, 233)
2018-10-10 10:11:17,924: |Mouse moved to |(623, 230)
2018-10-10 10:11:17,940: |Mouse moved to |(624, 227)
2018-10-10 10:11:17,955: |Mouse moved to |(625, 225)
2018-10-10 10:11:17,955: |Mouse moved to |(627, 223)
2018-10-10 10:11:17,971: |Mouse moved to |(628, 222)
2018-10-10 10:11:17,986: |Mouse moved to |(629, 221)
2018-10-10 10:11:17,986: |Mouse moved to |(630, 220)
2018-10-10 10:11:18,002: |Mouse moved to |(631, 218)
2018-10-10 10:11:18,018: |Mouse moved to |(635, 218)
2018-10-10 10:11:18,018: |Mouse moved to |(639, 217)
2018-10-10 10:11:18,033: |Mouse moved to |(645, 216)
2018-10-10 10:11:18,049: |Mouse moved to |(652, 215)
2018-10-10 10:11:18,049: |Mouse moved to |(659, 214)
2018-10-10 10:11:18,064: |Mouse moved to |(664, 214)
2018-10-10 10:11:18,080: |Mouse moved to |(670, 212)
2018-10-10 10:11:18,096: |Mouse moved to |(673, 212)
2018-10-10 10:11:18,096: |Mouse moved to |(677, 212)
2018-10-10 10:11:18,111: |Mouse moved to |(681, 211)
2018-10-10 10:11:18,127: |Mouse moved to |(688, 211)
2018-10-10 10:11:18,127: |Mouse moved to |(696, 211)
2018-10-10 10:11:18,142: |Mouse moved to |(704, 211)
2018-10-10 10:11:18,158: |Mouse moved to |(713, 211)
2018-10-10 10:11:18,158: |Mouse moved to |(722, 211)
2018-10-10 10:11:18,174: |Mouse moved to |(733, 211)
2018-10-10 10:11:18,189: |Mouse moved to |(741, 210)
2018-10-10 10:11:18,189: |Mouse moved to |(748, 210)
2018-10-10 10:11:18,205: |Mouse moved to |(751, 209)
2018-10-10 10:11:18,220: |Mouse moved to |(754, 207)
2018-10-10 10:11:18,220: |Mouse moved to |(756, 207)
2018-10-10 10:11:18,236: |Mouse moved to |(757, 207)
2018-10-10 10:11:18,252: |Mouse moved to |(758, 206)
2018-10-10 10:11:18,252: |Mouse moved to |(758, 206)
2018-10-10 10:11:18,267: |Mouse moved to |(759, 206)
2018-10-10 10:11:18,314: |Mouse clicked at |(759, 206) with Button.left
2018-10-10 10:11:18,503: |Mouse moved to |(760, 206)
2018-10-10 10:11:18,519: |Mouse moved to |(756, 212)
2018-10-10 10:11:18,534: |Mouse moved to |(747, 231)
2018-10-10 10:11:18,534: |Mouse moved to |(738, 252)
2018-10-10 10:11:18,550: |Mouse moved to |(729, 273)
2018-10-10 10:11:18,566: |Mouse moved to |(720, 299)
2018-10-10 10:11:18,566: |Mouse moved to |(710, 324)
2018-10-10 10:11:18,581: |Mouse moved to |(698, 356)
2018-10-10 10:11:18,597: |Mouse moved to |(689, 392)
2018-10-10 10:11:18,597: |Mouse moved to |(678, 428)
2018-10-10 10:11:18,612: |Mouse moved to |(666, 469)
2018-10-10 10:11:18,628: |Mouse moved to |(655, 511)
2018-10-10 10:11:18,628: |Mouse moved to |(642, 550)
2018-10-10 10:11:18,644: |Mouse moved to |(630, 584)
2018-10-10 10:11:18,659: |Mouse moved to |(619, 618)
2018-10-10 10:11:18,659: |Mouse moved to |(606, 645)
2018-10-10 10:11:18,675: |Mouse moved to |(597, 658)
2018-10-10 10:11:18,690: |Mouse moved to |(589, 666)
2018-10-10 10:11:18,690: |Mouse moved to |(584, 669)
2018-10-10 10:11:18,706: |Mouse moved to |(582, 669)
2018-10-10 10:11:18,722: |Mouse moved to |(582, 669)
2018-10-10 10:11:18,722: |Mouse moved to |(580, 669)
2018-10-10 10:11:18,737: |Mouse moved to |(580, 669)
2018-10-10 10:11:18,753: |Mouse moved to |(578, 668)
2018-10-10 10:11:18,768: |Mouse moved to |(578, 667)
2018-10-10 10:11:18,784: |Mouse moved to |(576, 666)
2018-10-10 10:11:18,784: |Mouse moved to |(573, 664)
2018-10-10 10:11:18,800: |Mouse moved to |(571, 661)
2018-10-10 10:11:18,815: |Mouse moved to |(566, 656)
2018-10-10 10:11:18,815: |Mouse moved to |(562, 653)
2018-10-10 10:11:18,831: |Mouse moved to |(559, 648)
2018-10-10 10:11:18,846: |Mouse moved to |(558, 646)
2018-10-10 10:11:18,846: |Mouse moved to |(556, 645)
2018-10-10 10:11:18,862: |Mouse moved to |(554, 643)
2018-10-10 10:11:18,878: |Mouse moved to |(550, 642)
2018-10-10 10:11:18,878: |Mouse moved to |(545, 640)
2018-10-10 10:11:18,893: |Mouse moved to |(537, 634)
2018-10-10 10:11:18,909: |Mouse moved to |(530, 628)
2018-10-10 10:11:18,909: |Mouse moved to |(521, 621)
2018-10-10 10:11:18,924: |Mouse moved to |(517, 617)
2018-10-10 10:11:18,940: |Mouse moved to |(516, 616)
2018-10-10 10:11:18,956: |Mouse moved to |(514, 615)
2018-10-10 10:11:19,034: |Mouse moved to |(514, 615)
2018-10-10 10:11:19,049: |Mouse moved to |(512, 613)
2018-10-10 10:11:19,049: |Mouse moved to |(508, 611)
2018-10-10 10:11:19,065: |Mouse moved to |(502, 608)
2018-10-10 10:11:19,080: |Mouse moved to |(496, 605)
2018-10-10 10:11:19,080: |Mouse moved to |(490, 603)
2018-10-10 10:11:19,096: |Mouse moved to |(483, 599)
2018-10-10 10:11:19,112: |Mouse moved to |(476, 594)
2018-10-10 10:11:19,112: |Mouse moved to |(467, 589)
2018-10-10 10:11:19,127: |Mouse moved to |(461, 586)
2018-10-10 10:11:19,143: |Mouse moved to |(458, 585)
2018-10-10 10:11:19,205: |Mouse clicked at |(458, 585) with Button.left
2018-10-10 10:11:19,330: |Mouse moved to |(463, 585)
2018-10-10 10:11:19,346: |Mouse moved to |(472, 585)
2018-10-10 10:11:19,361: |Mouse moved to |(484, 585)
2018-10-10 10:11:19,361: |Mouse moved to |(505, 587)
2018-10-10 10:11:19,377: |Mouse moved to |(534, 590)
2018-10-10 10:11:19,392: |Mouse moved to |(576, 590)
2018-10-10 10:11:19,392: |Mouse moved to |(618, 590)
2018-10-10 10:11:19,408: |Mouse moved to |(654, 590)
2018-10-10 10:11:19,424: |Mouse moved to |(687, 590)
2018-10-10 10:11:19,424: |Mouse moved to |(709, 587)
2018-10-10 10:11:19,439: |Mouse moved to |(727, 584)
2018-10-10 10:11:19,455: |Mouse moved to |(743, 582)
2018-10-10 10:11:19,455: |Mouse moved to |(756, 582)
2018-10-10 10:11:19,470: |Mouse moved to |(766, 582)
2018-10-10 10:11:19,486: |Mouse moved to |(775, 582)
2018-10-10 10:11:19,486: |Mouse moved to |(782, 582)
2018-10-10 10:11:19,502: |Mouse moved to |(787, 582)
2018-10-10 10:11:19,517: |Mouse moved to |(791, 582)
2018-10-10 10:11:19,517: |Mouse moved to |(794, 582)
2018-10-10 10:11:19,533: |Mouse moved to |(796, 582)
2018-10-10 10:11:19,548: |Mouse moved to |(799, 582)
2018-10-10 10:11:19,548: |Mouse moved to |(802, 582)
2018-10-10 10:11:19,564: |Mouse moved to |(809, 582)
2018-10-10 10:11:19,580: |Mouse moved to |(814, 582)
2018-10-10 10:11:19,595: |Mouse moved to |(822, 582)
2018-10-10 10:11:19,595: |Mouse moved to |(832, 582)
2018-10-10 10:11:19,611: |Mouse moved to |(842, 582)
2018-10-10 10:11:19,626: |Mouse moved to |(851, 583)
2018-10-10 10:11:19,626: |Mouse moved to |(862, 584)
2018-10-10 10:11:19,642: |Mouse moved to |(871, 585)
2018-10-10 10:11:19,658: |Mouse moved to |(878, 587)
2018-10-10 10:11:19,658: |Mouse moved to |(885, 589)
2018-10-10 10:11:19,673: |Mouse moved to |(889, 590)
2018-10-10 10:11:19,689: |Mouse moved to |(891, 590)
2018-10-10 10:11:19,689: |Mouse moved to |(893, 591)
2018-10-10 10:11:19,720: |Mouse moved to |(894, 591)
2018-10-10 10:11:19,720: |Mouse moved to |(895, 592)
2018-10-10 10:11:19,736: |Mouse moved to |(895, 592)
2018-10-10 10:11:19,751: |Mouse moved to |(896, 593)
2018-10-10 10:11:19,751: |Mouse clicked at |(896, 593) with Button.left
2018-10-10 10:11:19,829: |Mouse moved to |(897, 590)
2018-10-10 10:11:19,845: |Mouse moved to |(899, 582)
2018-10-10 10:11:19,845: |Mouse moved to |(900, 571)
2018-10-10 10:11:19,860: |Mouse moved to |(901, 560)
2018-10-10 10:11:19,876: |Mouse moved to |(901, 546)
2018-10-10 10:11:19,876: |Mouse moved to |(902, 533)
2018-10-10 10:11:19,892: |Mouse moved to |(902, 510)
2018-10-10 10:11:19,907: |Mouse moved to |(902, 492)
2018-10-10 10:11:19,907: |Mouse moved to |(901, 475)
2018-10-10 10:11:19,923: |Mouse moved to |(901, 458)
2018-10-10 10:11:19,938: |Mouse moved to |(902, 442)
2018-10-10 10:11:19,938: |Mouse moved to |(906, 426)
2018-10-10 10:11:19,954: |Mouse moved to |(911, 411)
2018-10-10 10:11:19,970: |Mouse moved to |(916, 397)
2018-10-10 10:11:19,970: |Mouse moved to |(918, 387)
2018-10-10 10:11:19,985: |Mouse moved to |(920, 376)
2018-10-10 10:11:20,001: |Mouse moved to |(921, 365)
2018-10-10 10:11:20,001: |Mouse moved to |(921, 355)
2018-10-10 10:11:20,016: |Mouse moved to |(920, 348)
2018-10-10 10:11:20,032: |Mouse moved to |(918, 343)
2018-10-10 10:11:20,032: |Mouse moved to |(917, 338)
2018-10-10 10:11:20,050: |Mouse moved to |(914, 332)
2018-10-10 10:11:20,065: |Mouse moved to |(910, 324)
2018-10-10 10:11:20,065: |Mouse moved to |(904, 315)
2018-10-10 10:11:20,081: |Mouse moved to |(897, 307)
